3.1727 	DEBUG 	Fullscreen settings ignored as running in pilot mode.
3.1732 	INFO 	Loaded monitor calibration from ['2025_06_17 20:17']
3.2728 	INFO 	Using renderer 'Intel(R) Iris(R) Xe Graphics' for graphics
3.2728 	INFO 	OpenGL version supported by driver is 4..
3.2821 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019F41661120>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000019F416610C0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=False, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000019F4171A9B0>, multiSample=False, name='window1', numSamples=2, pos=[np.float64(1520.0), np.float64(780.0)], screen=0, size=array([800, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.2822 	EXP 	window1: backgroundImage = ''
3.2822 	EXP 	window1: backgroundFit = 'none'
3.2963 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3059 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3155 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3239 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3329 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3418 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3509 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3603 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3691 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3780 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3874 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.3967 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4062 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4150 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4242 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4338 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4428 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4516 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4603 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4699 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4782 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
3.4785 	DEBUG 	Uploading Texture Font fontname to graphics card
3.4826 	DEBUG 	Upload of Texture Font fontname complete
3.4955 	DEBUG 	TextBox2 loaded 1 chars with 0 blanks and 1 valid
